ID,Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type,Target
5033847,0,0,0,0,0,0,0,2,4,23,225000,39.63394183,13.65394224,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,0
5033853,0,0,1,0,0,0,0,0,2,24,90000,48.81414403,0.301169771,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,0
5033854,0,0,1,0,0,0,0,0,2,13,202500,51.63145034,5.404628432,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0
5033855,0,0,1,1,1,0,0,0,2,30,90000,56.05590806,31.98696756,Working,Secondary / secondary special,Married,House / apartment,Accountants,1
5033856,0,0,0,0,0,0,0,0,2,32,157500,37.88715716,0.900771405,Working,Lower secondary,Married,House / apartment,Laborers,0
5033857,1,1,0,0,1,0,0,1,3,34,270000,35.39566179,0.654359775,Commercial associate,Higher education,Married,Municipal apartment,Managers,0
5033859,0,1,1,0,1,0,1,0,1,7,178650,47.34115006,0,Pensioner,Higher education,Widow,House / apartment,Other,0
5033861,1,1,1,0,1,0,0,2,4,39,180000,34.86998364,4.739317029,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5033862,1,0,1,1,0,0,0,2,4,18,171000,39.65584509,6.067201927,Working,Higher education,Married,With parents,Laborers,0
5033863,1,1,1,0,0,0,0,0,2,8,180000,57.8300718,10.73807128,Working,Incomplete higher,Married,House / apartment,Other,0
5033865,1,1,1,0,1,0,0,2,4,41,247500,34.23752712,9.152823124,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5033866,0,0,1,0,0,0,0,0,2,8,157500,47.1221175,1.133493501,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5033868,0,0,0,0,0,0,0,0,2,28,63000,40.43888649,5.486765642,Commercial associate,Higher education,Married,House / apartment,Core staff,0
5033870,1,0,0,0,1,0,0,0,2,4,360000,38.215706,2.65303189,Working,Secondary / secondary special,Married,Rented apartment,Drivers,0
5033871,0,0,1,0,1,0,0,0,1,19,157500,32.87952525,5.234878197,Commercial associate,Secondary / secondary special,Separated,House / apartment,Sales staff,0
5033873,1,1,1,0,0,0,0,1,3,45,157500,36.26631621,1.738570949,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,0
5033874,0,0,0,0,1,0,0,0,2,29,112500,27.86367961,6.403964489,Commercial associate,Incomplete higher,Married,House / apartment,Other,0
5033878,0,0,1,1,1,0,0,0,2,40,202500,48.49654681,1.965817231,Commercial associate,Higher education,Married,House / apartment,Managers,0
5033880,0,0,1,0,0,0,0,0,2,11,202500,58.16957227,33.30116293,State servant,Higher education,Married,House / apartment,Core staff,0
5033881,1,1,0,0,0,0,0,1,3,11,202500,29.51463754,10.31917151,Commercial associate,Incomplete higher,Married,House / apartment,Laborers,0
5033883,0,0,0,1,0,0,0,2,4,11,180000,36.67700227,2.151994907,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5033884,1,1,1,1,1,0,0,0,2,21,90000,54.93062828,2.551729331,Working,Secondary / secondary special,Married,House / apartment,Core staff,0
5033886,1,0,1,0,0,0,0,0,2,9,135000,24.47688864,1.552393273,Working,Secondary / secondary special,Civil marriage,House / apartment,Low-skill Laborers,1
5033887,1,1,1,0,1,0,0,1,3,48,135000,30.29767894,4.572304702,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5033888,1,1,1,1,1,0,0,0,2,22,135000,25.44610772,2.967891196,Commercial associate,Higher education,Civil marriage,House / apartment,Sales staff,0
5033889,0,0,1,0,0,0,1,0,1,13,337500,56.6199169,0,Pensioner,Secondary / secondary special,Separated,House / apartment,Other,0
5033892,0,0,1,0,1,0,0,0,2,8,162000,52.72387523,4.068529812,Working,Higher education,Married,House / apartment,Managers,0
5033893,0,0,1,1,0,0,0,0,2,60,274500,54.23246199,1.067783733,Working,Higher education,Civil marriage,House / apartment,Other,0
5033895,0,0,0,0,0,0,0,2,4,38,135000,30.92739755,4.572304702,Working,Secondary / secondary special,Married,With parents,Core staff,0
5033896,1,0,1,1,0,0,0,0,2,48,225000,51.90250313,10.31917151,Working,Secondary / secondary special,Married,House / apartment,Laborers,1
5033897,1,0,1,1,1,0,0,0,2,33,126000,28.26615194,1.404546295,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5033899,1,1,1,0,0,0,0,0,2,43,247500,59.56864275,7.406038454,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5033900,0,0,1,0,1,0,1,0,1,29,165600,58.54466553,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,1
5033902,1,0,1,0,0,0,1,0,2,13,99000,61.87669836,0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Other,1
5033905,0,0,1,0,0,0,0,0,2,8,270000,60.00670787,5.215712848,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,0
5033906,1,1,1,0,0,0,1,0,2,32,90000,50.24333149,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5033907,0,0,1,0,0,0,0,1,3,6,135000,27.50227589,1.552393273,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0
5033909,0,0,1,1,1,0,0,2,4,6,148500,33.16974339,2.403882352,Working,Secondary / secondary special,Married,House / apartment,Sales staff,1
5033910,0,0,1,0,0,0,1,0,1,9,225000,55.48916131,0,Pensioner,Secondary / secondary special,Separated,House / apartment,Other,0
5033912,0,0,0,1,0,1,0,0,2,17,225000,36.35392924,4.386127025,Working,Higher education,Civil marriage,Rented apartment,Other,0
5033914,0,1,1,0,1,0,0,0,2,29,112500,54.44875665,1.98498258,Working,Higher education,Civil marriage,House / apartment,High skill tech staff,0
5033917,1,0,1,0,0,0,0,0,2,13,180000,35.6338597,9.985146854,Working,Secondary / secondary special,Married,House / apartment,Other,0
5033920,1,1,1,0,0,0,0,1,3,33,180000,31.78162454,6.653114027,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5033921,0,0,1,1,1,0,0,1,3,13,211500,34.45655968,2.06711979,Working,Secondary / secondary special,Married,House / apartment,Core staff,0
5033924,1,1,1,1,1,0,0,0,2,38,157500,27.64464705,4.301251908,Working,Secondary / secondary special,Married,House / apartment,Drivers,1
5033925,1,1,1,0,1,0,0,0,2,31,450000,48.85247473,0.553057215,Commercial associate,Secondary / secondary special,Married,House / apartment,Other,0
5033926,1,1,1,1,1,0,0,1,3,13,144000,29.18335079,8.572386839,State servant,Secondary / secondary special,Married,Office apartment,Managers,0
5033930,1,0,1,1,0,0,0,1,2,34,148500,36.3785704,3.405956317,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Laborers,1
5033931,0,1,1,1,1,0,0,1,3,51,252000,39.36562695,8.487511722,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,0
5033932,0,0,0,0,0,0,0,0,1,38,225000,30.64813104,2.319007235,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,0
5033933,0,0,1,0,0,0,0,0,2,19,157500,56.02579108,4.386127025,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,0
5033935,0,0,1,0,0,0,1,0,2,45,135000,61.79182324,0,Pensioner,Lower secondary,Married,House / apartment,Other,0
5033939,1,1,0,0,0,0,0,0,2,7,315000,40.76195952,21.23520675,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5033940,1,0,0,0,0,0,0,0,2,35,225000,47.44519052,3.720815622,Working,Secondary / secondary special,Married,House / apartment,Laborers,1
5033941,1,1,1,1,0,0,0,2,4,50,360000,28.12651868,8.320499394,Working,Higher education,Married,House / apartment,Core staff,0
5033943,1,1,1,1,1,0,0,0,2,13,202500,33.82136526,14.6532783,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5033944,0,0,1,0,1,0,0,1,3,6,180000,30.76859894,7.069275892,Working,Secondary / secondary special,Civil marriage,House / apartment,Core staff,0
5033945,0,0,1,0,1,0,1,0,1,37,49500,61.04163672,0,Pensioner,Secondary / secondary special,Separated,House / apartment,Other,0
5033946,0,0,1,0,0,0,0,0,1,45,112500,41.61892441,4.134239581,Commercial associate,Secondary / secondary special,Separated,House / apartment,Other,1
5033950,1,1,1,0,0,0,0,0,2,23,247500,51.39051452,3.238943989,Working,Secondary / secondary special,Married,House / apartment,Drivers,1
5033952,0,0,1,0,1,1,0,0,2,43,157500,49.88740357,4.134239581,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,0
5033954,0,0,1,0,0,0,0,0,2,17,157500,54.38030897,2.047954441,Working,Secondary / secondary special,Married,House / apartment,Other,0
5033956,0,0,0,0,0,0,0,1,3,48,225000,37.02471646,3.217040733,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5033960,0,1,0,0,0,0,0,0,2,11,292500,42.22400186,8.238362184,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5033962,0,0,1,1,0,0,0,2,4,37,144000,37.3149346,2.047954441,Working,Secondary / secondary special,Married,House / apartment,Other,1
5033964,0,0,0,0,0,0,0,0,2,2,157500,46.74154842,9.796231271,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5033966,0,0,1,0,0,0,0,0,2,53,180000,41.35060953,8.6353587,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,0
5033968,1,1,1,1,0,0,0,0,2,12,270000,46.68131447,3.720815622,Working,Secondary / secondary special,Civil marriage,House / apartment,Drivers,0
5033969,0,0,1,0,0,0,0,3,5,14,135000,39.54906672,6.132911696,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,0
5033970,0,0,1,0,0,0,0,0,2,53,112500,49.90930683,6.048036578,State servant,Secondary / secondary special,Married,House / apartment,Core staff,0
5033972,1,1,1,0,0,0,0,1,3,54,256500,30.53861476,12.07143199,State servant,Higher education,Married,Office apartment,Core staff,0
5033976,0,0,1,0,0,0,0,0,1,29,144000,30.5961108,0.881606056,Working,Secondary / secondary special,Single / not married,House / apartment,Cooking staff,0
5033979,1,0,1,0,0,0,1,0,2,49,117000,62.73366325,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5033980,1,0,1,0,0,0,0,0,2,20,292500,28.4057852,2.633866541,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5033983,1,0,1,0,1,0,0,0,2,4,117000,35.10270574,1.552393273,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5033985,0,1,1,1,1,0,0,0,2,29,180000,53.60274338,14.75184295,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Accountants,0
5033986,0,0,0,0,0,0,1,0,1,14,144000,59.34413438,0,Pensioner,Lower secondary,Widow,Municipal apartment,Other,0
5033991,0,0,1,0,0,0,1,0,1,43,72000,62.29286022,0,Pensioner,Secondary / secondary special,Separated,House / apartment,Other,0
5033993,1,0,1,0,1,0,1,0,2,13,144000,60.84176951,0,Pensioner,Incomplete higher,Married,House / apartment,Other,1
5033994,0,0,0,0,0,0,0,1,2,13,135000,47.50268657,13.25694573,State servant,Secondary / secondary special,Single / not married,House / apartment,Laborers,0
5033998,0,0,0,0,1,0,0,0,1,25,112500,44.94821933,4.421719816,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,Laborers,0
5033999,0,0,1,1,1,0,0,1,3,41,148500,43.91055258,2.836471659,Commercial associate,Higher education,Civil marriage,House / apartment,High skill tech staff,1
5034001,0,0,1,0,1,0,0,5,6,50,189000,42.30066326,1.171824199,Working,Secondary / secondary special,Separated,House / apartment,Other,0
5034006,0,0,0,0,1,0,0,2,4,48,135000,37.26839018,9.256863591,Commercial associate,Higher education,Married,With parents,Core staff,0
5034009,0,0,0,0,0,0,0,0,1,43,270000,58.57478251,18.00447648,Working,Secondary / secondary special,Separated,House / apartment,Medicine staff,1
5034013,0,0,1,0,0,0,0,1,3,56,135000,45.47389748,0.509250703,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5034016,0,1,1,1,1,0,0,0,2,36,180000,34.27859573,2.256035374,Working,Higher education,Married,House / apartment,Managers,0
5034017,1,0,1,0,0,0,0,2,4,17,180000,33.19164665,1.508586761,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5034019,0,0,1,0,0,0,0,0,2,17,292500,38.59901298,15.25835575,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5034021,1,0,1,1,0,0,0,0,2,21,202500,39.83928486,3.7509326,State servant,Secondary / secondary special,Married,House / apartment,Core staff,0
5035413,0,0,1,0,0,0,0,0,2,48,292500,57.79995482,13.18576015,Working,Higher education,Married,House / apartment,Core staff,0
5035425,1,1,1,0,0,0,0,0,1,22,94500,38.70852926,2.935036311,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,0
5035432,0,1,1,0,0,0,0,0,1,14,180000,47.2809161,23.18733444,Working,Higher education,Separated,House / apartment,Other,0
5035442,0,0,1,0,0,0,1,0,2,54,67500,57.56997064,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5035448,0,0,1,0,0,0,0,0,2,38,225000,46.08445074,9.766114294,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,0
5035480,1,1,1,0,0,0,0,1,3,42,225000,36.50725203,13.43764759,Working,Higher education,Married,House / apartment,Core staff,0
5035489,0,0,1,0,0,0,0,0,2,48,135000,49.39458031,5.850907274,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5035493,0,1,0,0,1,0,0,0,1,11,405000,54.9005113,2.683148867,State servant,Higher education,Single / not married,House / apartment,Managers,0
5035504,0,0,0,0,1,0,0,1,2,27,202500,52.76494384,17.01882996,State servant,Secondary / secondary special,Single / not married,Municipal apartment,Cooking staff,0
5035516,1,1,0,0,0,0,0,2,4,39,180000,33.51198177,12.76686037,State servant,Secondary / secondary special,Married,House / apartment,Core staff,0
5035523,0,0,1,0,1,0,1,1,3,15,76500,55.96829504,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,1
5035537,0,0,1,0,0,0,1,0,2,14,67500,60.00670787,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5035538,0,0,1,0,0,0,1,0,1,25,126000,66.76933818,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
5035556,1,1,0,0,0,0,0,0,2,60,225000,44.03102049,11.27196315,Working,Secondary / secondary special,Married,House / apartment,Managers,1
5035570,0,0,1,0,1,0,1,0,2,46,67500,57.22225645,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5035586,0,0,1,0,0,0,0,0,2,51,72000,45.96398283,15.76760645,State servant,Secondary / secondary special,Married,House / apartment,Other,0
5035591,0,0,0,1,1,0,0,1,3,46,69750,27.83630054,2.269724909,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Sales staff,1
5035617,0,0,1,0,0,0,0,0,2,36,157500,53.5698885,7.605905665,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Laborers,0
5035618,1,0,1,0,1,0,1,0,2,20,94500,64.74328699,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5035626,1,1,1,0,0,0,0,0,2,38,337500,49.5834959,18.519203,Working,Higher education,Married,House / apartment,Managers,0
5035635,0,0,1,0,0,0,0,0,2,57,90000,48.82509566,5.933044484,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5035646,0,0,1,0,0,0,1,0,2,34,67500,60.18740973,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5035654,0,1,1,1,0,0,0,0,2,36,67500,45.03035654,4.019247486,Working,Secondary / secondary special,Civil marriage,House / apartment,Cleaning staff,0
5035678,0,0,1,1,0,0,0,0,1,24,157500,43.3711849,7.354018221,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Waiters/barmen staff,0
5035681,0,1,1,0,0,0,0,0,2,31,135000,45.18915515,22.935447,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0
5035701,0,0,1,0,0,0,0,0,2,30,112500,54.24888944,7.271881011,State servant,Lower secondary,Married,House / apartment,Laborers,0
5035703,0,0,1,0,0,0,1,0,2,51,90000,58.42693553,0,Pensioner,Higher education,Married,House / apartment,Other,0
5035711,0,0,0,0,0,0,0,0,1,11,90000,24.51795725,2.603749564,Working,Secondary / secondary special,Single / not married,With parents,Sales staff,0
5035714,1,1,1,0,0,0,0,0,1,23,382500,59.13605344,8.271217068,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,0
5035738,0,1,1,1,1,0,0,0,1,22,103500,46.92225029,22.10038536,State servant,Higher education,Separated,House / apartment,Core staff,0
5035774,0,0,1,0,0,0,0,0,2,29,225000,48.50202263,3.438811201,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5035778,0,0,0,0,0,0,0,0,1,59,45000,54.50077688,15.18717017,Working,Secondary / secondary special,Single / not married,House / apartment,Other,0
5035782,0,0,1,0,1,0,0,0,2,29,405000,60.62273695,24.76710679,Commercial associate,Secondary / secondary special,Married,House / apartment,Other,0
5035789,0,1,1,0,0,0,1,0,1,2,90000,60.16003066,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
5035816,0,0,1,0,0,0,0,0,2,10,157500,48.72926891,2.351862119,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,0
5035822,1,1,1,0,0,0,0,0,1,16,180000,55.53296782,9.437565453,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Drivers,0
5035836,0,1,1,0,0,0,1,0,2,16,112500,48.29941751,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5035843,0,0,1,0,0,0,0,1,2,58,252000,50.38296474,20.27146348,Working,Secondary / secondary special,Separated,House / apartment,Medicine staff,0
5035848,1,0,1,0,0,0,1,0,1,14,46948.5,57.95327762,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Other,0
5035857,0,0,1,0,0,0,0,0,1,19,270000,58.00255994,6.518956584,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Accountants,1
5035865,0,0,1,0,0,0,0,0,2,46,247500,48.34048612,3.353936084,Commercial associate,Secondary / secondary special,Married,House / apartment,Cooking staff,0
5035873,0,0,0,0,1,0,0,0,2,0,157500,48.64165589,8.101466834,Working,Higher education,Married,House / apartment,Sales staff,0
5035885,0,0,1,0,1,0,0,1,3,31,225000,53.58905385,20.27146348,Working,Higher education,Married,House / apartment,Other,0
5035889,0,0,1,0,0,0,1,0,2,9,112500,67.49214563,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,1
5035920,0,1,1,0,0,0,0,1,3,60,180000,42.28697372,1.932962347,Commercial associate,Incomplete higher,Civil marriage,House / apartment,Laborers,0
5035934,1,1,0,0,0,0,0,0,2,53,337500,66.63791864,14.1850962,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,0
5035940,0,1,1,0,0,0,0,0,1,34,270000,29.23810893,3.271798873,Working,Higher education,Single / not married,House / apartment,Other,0
5035948,0,0,1,0,0,0,0,1,2,3,157500,28.2113938,1.185513734,Working,Higher education,Single / not married,With parents,Secretaries,0
5035957,0,0,1,0,0,0,0,2,4,39,135000,42.39649,1.681074902,Commercial associate,Secondary / secondary special,Married,House / apartment,Other,0
5035963,0,0,1,1,0,0,0,2,4,26,225000,35.80360993,14.7682704,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,0
5035980,0,0,1,0,0,0,1,0,1,19,112500,58.58573414,0,Pensioner,Secondary / secondary special,Separated,House / apartment,Other,0
5035989,1,1,1,1,1,0,0,2,4,21,148500,44.94548143,4.101384696,Working,Higher education,Married,House / apartment,Drivers,0
5035992,1,0,1,0,0,0,0,0,2,2,112500,29.30929451,3.767360042,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5035993,0,0,1,0,0,0,0,0,2,34,157500,52.01201941,6.351944256,Commercial associate,Secondary / secondary special,Married,House / apartment,HR staff,0
5035999,1,1,1,0,1,0,0,1,3,19,135000,29.31477032,7.019993566,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5036033,0,0,1,0,0,0,0,0,1,21,225000,41.58333162,2.935036311,Working,Higher education,Single / not married,House / apartment,Other,0
5036039,1,0,1,0,1,0,0,0,2,32,256500,55.86973038,7.682567062,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5036048,0,0,1,0,0,0,0,0,2,49,225000,29.52558916,8.438229396,State servant,Secondary / secondary special,Married,With parents,Laborers,0
5036064,0,1,1,1,0,0,0,0,2,19,67500,35.12460899,4.186259814,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,0
5036067,0,1,1,0,0,0,0,0,2,5,171000,42.85919629,1.519538389,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,0
5036073,0,0,1,1,1,0,0,2,4,22,153000,29.52285126,2.768023984,Working,Higher education,Married,House / apartment,Sales staff,0
5036082,0,0,1,1,0,0,0,1,3,23,85500,45.24391329,2.351862119,Working,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,1
5036091,0,0,1,1,0,0,0,0,2,2,135000,59.39615461,8.766778236,Working,Secondary / secondary special,Married,House / apartment,Security staff,0
5036097,0,1,1,1,0,0,0,2,4,10,112500,34.33061596,7.521030548,Working,Secondary / secondary special,Married,House / apartment,Other,0
5036125,1,0,1,0,0,0,0,1,3,50,616500,36.25536459,11.6059878,Commercial associate,Higher education,Married,House / apartment,Managers,0
5036134,1,1,1,1,0,0,0,0,2,45,675000,49.8189559,6.768106121,Commercial associate,Higher education,Married,House / apartment,Managers,0
5036142,0,0,1,0,1,0,1,0,1,52,135000,65.54275584,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Other,0
5036145,1,0,1,0,0,0,0,0,2,21,247500,50.1338152,3.852235159,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5036156,1,1,1,0,0,0,0,0,2,6,135000,55.41523782,14.10022109,Working,Secondary / secondary special,Married,House / apartment,Security staff,0
5036167,0,0,1,0,0,0,0,0,2,15,288000,54.38304688,12.18642409,Working,Secondary / secondary special,Married,House / apartment,Other,0
5036179,0,1,1,0,1,0,1,1,3,51,157500,56.56789667,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5036208,0,1,1,0,0,0,0,0,2,5,270000,52.43365709,8.766778236,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,0
5036215,0,0,1,0,0,0,0,0,2,39,99000,42.68397024,2.436737236,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5036240,1,0,1,0,0,0,1,0,2,16,148500,56.10245248,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5036245,0,0,1,0,0,0,0,2,4,22,225000,42.10079605,0.933626289,Working,Higher education,Married,Co-op apartment,Laborers,0
5036257,0,0,1,1,1,0,0,0,2,13,121500,35.21769783,1.270388851,Working,Secondary / secondary special,Civil marriage,House / apartment,Cooking staff,0
5036265,0,1,1,0,0,0,1,0,2,37,135000,57.58913598,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5036274,0,0,1,0,1,0,0,0,1,6,306000,28.68778962,1.270388851,Working,Secondary / secondary special,Separated,House / apartment,Private service staff,0
5036275,1,0,1,0,0,0,0,0,2,2,180000,56.71026784,4.438147258,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5036279,0,0,1,0,0,0,0,0,1,21,144000,54.58017618,26.18534261,State servant,Higher education,Separated,House / apartment,Core staff,0
5036289,0,0,1,0,1,0,0,0,1,52,135000,49.27958822,15.60606994,State servant,Secondary / secondary special,Separated,House / apartment,Laborers,0
5036295,0,1,1,0,0,0,0,0,2,20,117000,46.91129866,5.437483316,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5036296,1,1,1,0,0,0,0,0,1,24,810000,29.32845986,4.101384696,Commercial associate,Higher education,Single / not married,House / apartment,Other,1
5036297,0,0,1,0,0,0,1,0,2,50,58500,59.28937624,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5036316,0,0,1,0,0,0,0,0,1,46,112500,49.26316078,1.519538389,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Security staff,0
5036337,0,1,1,0,0,0,1,0,2,45,225000,54.61850688,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5036354,0,0,1,0,0,0,0,0,2,56,207000,46.50335051,10.76818826,Working,Higher education,Married,House / apartment,Other,0
5036357,0,0,1,0,0,0,0,0,1,37,112500,39.67501044,5.352608199,Working,Secondary / secondary special,Widow,House / apartment,Sales staff,0
5036374,1,1,1,0,0,0,1,0,2,20,162000,67.09788702,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5036396,0,1,1,0,0,0,0,0,2,2,112500,37.4709953,3.438811201,Working,Secondary / secondary special,Civil marriage,House / apartment,Cooking staff,1
5036409,0,0,1,0,0,0,0,0,2,3,225000,60.70487416,5.437483316,Working,Secondary / secondary special,Married,House / apartment,Other,0
5036412,0,0,1,0,1,0,1,0,2,6,83250,55.35774177,0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Other,0
5036442,0,0,1,0,1,0,0,0,2,36,157500,34.1909827,4.438147258,Working,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,0
5036447,0,0,1,0,0,0,0,0,2,18,81000,31.6118743,4.101384696,Working,Higher education,Married,House / apartment,Other,0
5036453,1,1,1,0,1,0,1,0,2,9,90000,62.1285858,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5036455,0,1,0,0,0,0,0,0,2,34,135000,51.8915515,29.23263311,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5036459,0,1,0,1,0,0,0,0,2,8,157500,35.04247178,4.232804233,Working,Secondary / secondary special,Married,House / apartment,Laborers,1
5036460,1,0,1,0,0,0,1,2,4,3,81000,61.02794719,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5036462,1,1,1,0,0,0,0,2,4,46,180000,31.36820058,4.569566795,State servant,Higher education,Married,Co-op apartment,Other,0
5036464,0,1,0,1,1,0,0,0,2,54,360000,27.0395696,5.651040062,Commercial associate,Higher education,Married,House / apartment,Managers,0
5036466,0,1,0,1,0,0,0,1,3,49,112500,39.9323737,2.231394211,Working,Secondary / secondary special,Married,House / apartment,Accountants,0
5036468,0,0,0,0,0,0,1,0,2,25,180000,55.7574762,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5036470,0,0,0,0,0,0,1,0,1,60,126000,68.21221517,0,Pensioner,Higher education,Single / not married,House / apartment,Other,0
5036474,1,1,0,0,0,0,0,2,4,46,180000,43.02894652,7.31842543,Commercial associate,Higher education,Married,House / apartment,Managers,1
5036475,0,0,0,0,0,0,0,0,2,14,157500,57.85471296,20.56989534,Working,Higher education,Married,House / apartment,IT staff,0
5036478,0,1,1,1,0,0,0,0,2,12,112500,27.71309472,2.483281655,Working,Secondary / secondary special,Married,Office apartment,Core staff,0
5036479,0,0,1,1,0,0,0,0,1,37,112500,30.66729639,1.483945598,Working,Incomplete higher,Single / not married,House / apartment,Other,0
5036480,1,0,0,1,1,0,0,0,2,31,378000,54.33102665,23.65277863,Commercial associate,Higher education,Civil marriage,House / apartment,High skill tech staff,0
5036481,0,0,0,0,0,0,1,0,1,21,89550,64.13820955,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Other,0
5036483,1,0,0,0,0,0,0,1,3,59,135000,44.14327467,9.401972662,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5036485,0,0,0,0,0,0,0,0,1,58,270000,39.06719508,3.48535562,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,0
5036488,0,0,1,1,1,0,0,0,2,2,292500,50.70603777,19.89910813,Working,Secondary / secondary special,Married,House / apartment,Core staff,0
5036490,0,0,0,0,1,0,0,1,2,31,189000,49.80800427,1.483945598,Commercial associate,Higher education,Widow,House / apartment,Managers,0
